Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Shield","UFL_COAX_CONN23370191",216.700000,-139.125000,0.000000,bottom
"AE2","Antenna_Shield","UFL_COAX_CONN23370191",229.025000,-138.700000,0.000000,bottom
"C74","8.2p","C_0603_1608Metric",237.700000,-95.300000,0.000000,bottom
"C75","10n","C_0603_1608Metric",250.000000,-96.725000,90.000000,bottom
"C76","33p","C_0603_1608Metric",248.420000,-96.725000,90.000000,bottom
"C77","10p","C_0603_1608Metric",246.880000,-96.725000,90.000000,bottom
"C78","22u","C_0603_1608Metric",245.340000,-96.720000,90.000000,bottom
"C79","10u","C_0603_1608Metric",242.100000,-92.200000,180.000000,bottom
"C80","100n","C_0603_1608Metric",242.100000,-93.900000,180.000000,bottom
"C81","1u","C_0402_1005Metric",223.800000,-134.800000,-90.000000,bottom
"C82","10u","C_0402_1005Metric",221.100000,-134.730000,-90.000000,bottom
"C83","10u","C_0402_1005Metric",222.200000,-134.750000,-90.000000,bottom
"C84","100u","CP_EIA-3216-18_Kemet-A",222.200000,-138.500000,-90.000000,bottom
"C85","33pF","C_0402_1005Metric",225.820000,-134.500000,0.000000,bottom
"C86","100n","C_0402_1005Metric",242.380000,-111.100000,180.000000,bottom
"C87","22p","C_0402_1005Metric",240.600000,-106.100000,90.000000,bottom
"C88","22p","C_0402_1005Metric",239.500000,-106.100000,90.000000,bottom
"C89","22p","C_0402_1005Metric",238.300000,-106.100000,90.000000,bottom
"C90","1u","C_0402_1005Metric",232.800000,-130.100000,180.000000,bottom
"C91","10n","C_0402_1005Metric",232.800000,-131.100000,180.000000,bottom
"C92","1n","C_0402_1005Metric",232.800000,-133.100000,0.000000,bottom
"D18","LXES15AAA1-153","D_0402_1005Metric",216.200000,-135.500000,0.000000,bottom
"D21","SP0504BAHT","SOT-23-5",246.837500,-108.450000,180.000000,bottom
"J11","SIM_Card","micro_sim_XKSIM-220",249.600000,-113.050000,180.000000,bottom
"L12","2.2u","MDA5030-100M",242.850000,-101.180000,0.000000,bottom
"L13","100mHz 150/200R","L_0402_1005Metric",232.800000,-132.100000,180.000000,bottom
"L14","27nH","L_0402_1005Metric",229.600000,-134.500000,180.000000,bottom
"Q8","BSN20","SOT-23",207.300000,-135.387500,90.000000,bottom
"Q11","MMBT3904","SOT-23",200.000000,-121.000000,0.000000,bottom
"Q12","MMBT3904","SOT-23",199.850000,-116.037500,-90.000000,bottom
"R55","330k","R_0603_1608Metric",237.700000,-96.900000,0.000000,bottom
"R56","56k","R_0603_1608Metric",237.700000,-98.500000,180.000000,bottom
"R57","0R","R_0603_1608Metric",217.500000,-134.200000,180.000000,bottom
"R60","1k","R_0603_1608Metric",208.100000,-138.950000,90.000000,bottom
"R61","10K","R_0603_1608Metric",206.500000,-138.925000,90.000000,bottom
"R62","2.2K","R_0603_1608Metric",237.900000,-110.200000,90.000000,bottom
"R63","2.2K","R_0603_1608Metric",233.200000,-110.000000,90.000000,bottom
"R64","20R","R_0402_1005Metric",231.910000,-134.500000,0.000000,bottom
"R65","390R","R_0402_1005Metric",201.790000,-136.900000,180.000000,bottom
"R66","390R","R_0402_1005Metric",203.800000,-136.300000,180.000000,bottom
"R70","22R","R_0402_1005Metric",242.400000,-109.900000,0.000000,bottom
"R71","22R","R_0402_1005Metric",242.400000,-108.800000,0.000000,bottom
"R72","10K","R_0402_1005Metric",241.700000,-106.090000,90.000000,bottom
"R73","22R","R_0402_1005Metric",242.425000,-107.800000,0.000000,bottom
"R74","4.7K","R_0603_1608Metric",197.200000,-120.900000,90.000000,bottom
"R75","100K","R_0603_1608Metric",200.500000,-123.600000,180.000000,bottom
"R76","4.7K","R_0603_1608Metric",198.550000,-113.137500,180.000000,bottom
"R77","100K","R_0603_1608Metric",202.450000,-115.637500,-90.000000,bottom
"R78","4.7K","R_0603_1608Metric",197.250000,-116.337500,90.000000,bottom
"U25","SY8089AAAC","SOT-23-5",241.700000,-96.500000,180.000000,bottom
"U26","SIM7000G","SIM7000G",218.300000,-120.000000,0.000000,bottom
